Constituency No.,Constituency Name,Candidate Name,Party,Votes,Status,Margin
91,CHAKDAHA,GOPAL CHANDRA SIL,Rashtriya Lok Janshakti Party,289,lost,-115144
91,CHAKDAHA,NOTA,None of the Above,1110,,-114323
92,KALYANI,ANUPAM BISWAS,Bharatiya Janata Party,114469,won,+ 34792
92,KALYANI,DR. ATINDRA NATH MONDAL,All India Trinamool Congress,79677,lost,-34792
92,KALYANI,SABUJ DAS,Communist Party of India (Marxist),15037,lost,-99432
92,KALYANI,ASIMANANDA MAJUMDER,Indian National Congress,1453,lost,-113016
92,KALYANI,SUBRATA DAS,Independent,854,lost,-113615
92,KALYANI,RAMKRISHNA BARAI,Bahujan Samaj Party,692,lost,-113777
92,KALYANI,PULAK ADHIKARY,Independent,460,lost,-114009
92,KALYANI,BISHWAJIT DAS,Independent,338,lost,-114131
92,KALYANI,ANUPAM BISWAS,Independent,320,lost,-114149
92,KALYANI,PRANKRISHNA BISWAS (BABU),Socialist Unity Centre Of India (COMMUNIST),267,lost,-114202
92,KALYANI,NOTA,None of the Above,1939,,-112530
93,HARINGHATA,ASIM KUMAR SARKAR,Bharatiya Janata Party,107900,won,+ 22055
93,HARINGHATA,DR. RAJIB BISWAS.,All India Trinamool Congress,85845,lost,-22055
93,HARINGHATA,SWAPAN KUMAR SARKAR,Communist Party of India (Marxist),12370,lost,-95530
93,HARINGHATA,BIJAY MAJUMDAR,Independent,1464,lost,-106436
93,HARINGHATA,HIMANTI DAS,Indian National Congress,1259,lost,-106641
93,HARINGHATA,BIPLAB BISWAS,Bahujan Samaj Party,702,lost,-107198
93,HARINGHATA,AMAL SARKAR,Independent,593,lost,-107307
93,HARINGHATA,RUPAM MONDAL,Independent,465,lost,-107435
93,HARINGHATA,BIPLAB CHANDRA DAS,Socialist Unity Centre Of India (COMMUNIST),226,lost,-107674
93,HARINGHATA,SWAPAN KUMAR ROY,Party for Democratic Socialism,183,lost,-107717
93,HARINGHATA,AMIT SARKAR,Rashtriya Lok Janshakti Party,174,lost,-107726
93,HARINGHATA,NOTA,None of the Above,1575,,-106325
94,BAGDA,SOMA THAKUR,Bharatiya Janata Party,121307,won,+ 34616
94,BAGDA,MADHUPARNA THAKUR,All India Trinamool Congress,86691,lost,-34616
94,BAGDA,GOUR BISWAS,All India Forward Bloc,4700,lost,-116607
94,BAGDA,KIRTTANIYA PRABIR (BAPI),Indian National Congress,847,lost,-120460
94,BAGDA,KALIPADA BISWAS,Independent,627,lost,-120680
94,BAGDA,TUSHAR KANTI HALDER,Independent,571,lost,-120736
94,BAGDA,GOUTAM MALO,Bahujan Samaj Party,565,lost,-120742
94,BAGDA,SWAPAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),475,lost,-120832
94,BAGDA,DULAL CHANDRA BAR,Independent,451,lost,-120856
94,BAGDA,MANIK BAGCHI,Independent,271,lost,-121036
94,BAGDA,NOTA,None of the Above,718,,-120589
95,BANGAON UTTAR,ASHOK KIRTANIA,Bharatiya Janata Party,119317,won,+ 40670
95,BANGAON UTTAR,BISWAJIT DAS,All India Trinamool Congress,78647,lost,-40670
95,BANGAON UTTAR,PIJUSH KANTI SAHA,Communist Party of India (Marxist),8554,lost,-110763
95,BANGAON UTTAR,NILANJAN SAHA (BAPI),Indian National Congress,926,lost,-118391
95,BANGAON UTTAR,BISWAJIT DAS,Independent,703,lost,-118614
95,BANGAON UTTAR,SUBRATA BISWAS,Bahujan Samaj Party,628,lost,-118689
95,BANGAON UTTAR,SUDHANSU SEKHAR BISWAS,Independent,233,lost,-119084
95,BANGAON UTTAR,SUBHASIS BISWAS,Independent,223,lost,-119094
95,BANGAON UTTAR,DIPAK HALDAR,Independent,165,lost,-119152
95,BANGAON UTTAR,ANANDA BISWAS,Amra Bangalee,153,lost,-119164
95,BANGAON UTTAR,SHYAMSUNDAR HALDAR,Socialist Unity Centre Of India (COMMUNIST),150,lost,-119167
95,BANGAON UTTAR,ASHOK KUMAR ROY,Independent,145,lost,-119172
95,BANGAON UTTAR,NOTA,None of the Above,1500,,-117817
96,BANGAON DAKSHIN,SWAPAN MAJUMDER,Bharatiya Janata Party,119399,won,+ 37814
96,BANGAON DAKSHIN,RITUPARNA ADDHYA,All India Trinamool Congress,81585,lost,-37814
96,BANGAON DAKSHIN,ASISH KUMAR SARKAR,Communist Party of India (Marxist),6197,lost,-113202
96,BANGAON DAKSHIN,SWAPAN MAJUMDER,Independent,980,lost,-118419
96,BANGAON DAKSHIN,KISOR KUMAR BISWAS,Indian National Congress,820,lost,-118579
96,BANGAON DAKSHIN,PABITRA ROY,Independent,663,lost,-118736
96,BANGAON DAKSHIN,SANTOSH KUMAR SIKDAR,Bahujan Samaj Party,662,lost,-118737
96,BANGAON DAKSHIN,RABINDRA NATH BARAI,Socialist Unity Centre Of India (COMMUNIST),388,lost,-119011
96,BANGAON DAKSHIN,SHEFALI BAIN,Independent,238,lost,-119161
96,BANGAON DAKSHIN,KALYANI MONDAL,Independent,178,lost,-119221
96,BANGAON DAKSHIN,BIPLAB TIKADAR,Independent,149,lost,-119250
96,BANGAON DAKSHIN,NOTA,None of the Above,932,,-118467
97,GAIGHATA,SUBRATA THAKUR,Bharatiya Janata Party,121322,won,+ 47683
97,GAIGHATA,NAROTTAM BISWAS,All India Trinamool Congress,73639,lost,-47683
97,GAIGHATA,SAJAL BISWAS,Communist Party of India,9003,lost,-112319
97,GAIGHATA,ANIL KUMAR PANDEY,Indian National Congress,1097,lost,-120225
97,GAIGHATA,SABYASACHI BISWAS,Bahujan Samaj Party,923,lost,-120399
97,GAIGHATA,SUBRATA ADHIKARY,Independent,753,lost,-120569
97,GAIGHATA,SHIBANI MAJUMDAR,Socialist Unity Centre Of India (COMMUNIST),531,lost,-120791
97,GAIGHATA,SHIDDHARTHA SAMADDER,Independent,415,lost,-120907
97,GAIGHATA,SUDHIR MONDAL,Independent,203,lost,-121119
97,GAIGHATA,CHANDAN ROY,Independent,166,lost,-121156
97,GAIGHATA,TAPAN BISWAS,Independent,155,lost,-121167
97,GAIGHATA,NOTA,None of the Above,994,,-120328
98,SWARUPNAGAR,BINA MONDAL,All India Trinamool Congress,94813,won,+ 16017
98,SWARUPNAGAR,TARAK SAHA,Bharatiya Janata Party,78796,lost,-16017
98,SWARUPNAGAR,BISWAJIT  MONDAL,Communist Party of India (Marxist),38409,lost,-56404
98,SWARUPNAGAR,RITESH MONDAL,Indian National Congress,2384,lost,-92429
98,SWARUPNAGAR,BIDYUT MONDAL,Independent,1271,lost,-93542
98,SWARUPNAGAR,BINA MONDAL,Independent,609,lost,-94204
98,SWARUPNAGAR,DEBABRATA BISWAS,Socialist Unity Centre Of India (COMMUNIST),347,lost,-94466
98,SWARUPNAGAR,TARAK CHANDRA SARKAR,Independent,261,lost,-94552
98,SWARUPNAGAR,NOTA,None of the Above,1230,,-93583
99,BADURIA,BURHANUL MUKADDIM (LITON),All India Trinamool Congress,103334,won,+ 40061
99,BADURIA,SUKRITI KUMAR SARKAR,Bharatiya Janata Party,63273,lost,-40061
99,BADURIA,MD. KUTUBUDDIN FATEHE,All India Secular Front,49700,lost,-53634
99,BADURIA,ABDUR RAHIM QUAZI,Indian National Congress,3651,lost,-99683
99,BADURIA,BEDORA BIBI,Independent,1211,lost,-102123
99,BADURIA,QUTUBUDDIN AHMED,Independent,1176,lost,-102158
99,BADURIA,ABDUL HANNAN SARDAR,Independent,835,lost,-102499
99,BADURIA,SOUPTIK MONDAL,Independent,652,lost,-102682
99,BADURIA,GOPAL DAS,Bahujan Samaj Party,558,lost,-102776
99,BADURIA,IBRAHIM MOLLA,Aam Janata Unnayan party,530,lost,-102804
99,BADURIA,ALI ARSHAF,Independent,481,lost,-102853
99,BADURIA,NITAIKRISHNA PAL,Socialist Unity Centre Of India (COMMUNIST),321,lost,-103013
99,BADURIA,SAFIKUL ISLAM DAFADAR,Vikas India Party,256,lost,-103078
99,BADURIA,NOTA,None of the Above,1387,,-101947
100,HABRA,DEBDAS MONDAL,Bharatiya Janata Party,104645,won,+ 31462
100,HABRA,JYOTI PRIYA MALLICK,All India Trinamool Congress,73183,lost,-31462
100,HABRA,RIJINANDAN BISWAS,Communist Party of India (Marxist),15237,lost,-89408
100,HABRA,PRONOB BHATTACHARYYA,Indian National Congress,1145,lost,-103500
100,HABRA,DEBABRATA DAS,Independent,885,lost,-103760
100,HABRA,SHAFIQUE ALI,Independent,716,lost,-103929
100,HABRA,KAMALENDU BALA,Bahujan Samaj Party,540,lost,-104105
100,HABRA,SARIFUL MOLLA,Independent,369,lost,-104276
100,HABRA,ASIK RAJ MONDAL,All India Majlis-E-Ittehadul Muslimeen,306,lost,-104339
100,HABRA,DEBDAS MONDAL,Independent,282,lost,-104363
100,HABRA,PROBODH KUMAR SARKAR,Socialist Unity Centre Of India (COMMUNIST),261,lost,-104384
100,HABRA,APU MALLICK,Independent,109,lost,-104536
100,HABRA,KABIR RANA,Aam Janata Unnayan party,71,lost,-104574
100,HABRA,NOTA,None of the Above,988,,-103657
101,ASHOKNAGAR,DR. SUMAY HIRA,Bharatiya Janata Party,96807,won,+ 9408
101,ASHOKNAGAR,NARAYAN GOSWAMI,All India Trinamool Congress,87399,lost,-9408
101,ASHOKNAGAR,TAPAS BANERJEE,All India Secular Front,29493,lost,-67314
101,ASHOKNAGAR,ANGSHUMAN ROY,Indian National Congress,1417,lost,-95390
101,ASHOKNAGAR,TAPAS BANERJEE,Independent,1285,lost,-95522
101,ASHOKNAGAR,TARAKESWAR HAWLADER,Bahujan Samaj Party,658,lost,-96149
101,ASHOKNAGAR,TARAK DAS,Socialist Unity Centre Of India (COMMUNIST),628,lost,-96179
101,ASHOKNAGAR,SHIKHA GHOSH,Aam Janata Unnayan party,610,lost,-96197
101,ASHOKNAGAR,TAPAS SARDAR,Independent,299,lost,-96508
101,ASHOKNAGAR,NOTA,None of the Above,1161,,-95646
102,AMDANGA,MOHAMMAD KASEM SIDDIQUE,All India Trinamool Congress,81670,won,+ 2995
102,AMDANGA,ARINDAM DEY,Bharatiya Janata Party,78675,lost,-2995
102,AMDANGA,BISWAJIT MAITY,All India Secular Front,46181,lost,-35489
102,AMDANGA,S.MUKTAR AHAMED,Independent,1174,lost,-80496
102,AMDANGA,GOPAL GHOSH,Indian National Congress,1158,lost,-80512
102,AMDANGA,ABDUL SAMAD GAZI,Bharatiya Nyay-Adhikar Raksha Party,596,lost,-81074
102,AMDANGA,ASADUL,Independent,473,lost,-81197
102,AMDANGA,MOUFUL DAS,Bahujan Samaj Party,439,lost,-81231
102,AMDANGA,GOLAM MD NIZAMUDDIN,Aam Janata Unnayan party,436,lost,-81234
102,AMDANGA,KAMAL UDDIN,Socialist Unity Centre Of India (COMMUNIST),423,lost,-81247
102,AMDANGA,HARIPADA BISWAS,Mulnibasi Party of India,391,lost,-81279
102,AMDANGA,ALIM HOSSAIN MONDAL,Independent,317,lost,-81353
102,AMDANGA,NOTA,None of the Above,1569,,-80101
103,BIJPUR,SUDIPTA DAS,Bharatiya Janata Party,71799,won,+ 13343
103,BIJPUR,SUBODH ADHIKARY,All India Trinamool Congress,58456,lost,-13343
103,BIJPUR,DEBASISH RAKSHIT,Communist Party of India (Marxist),10009,lost,-61790
103,BIJPUR,SHIBABRATA GUHAROY,Indian National Congress,867,lost,-70932
103,BIJPUR,PREMCHAND MISHRA,Independent,756,lost,-71043
103,BIJPUR,SAJAL KARMAKAR,Independent,482,lost,-71317
103,BIJPUR,SUDIPTA CHANDA,Independent,358,lost,-71441
103,BIJPUR,MOHIT DUBEY,Aam Janata Unnayan party,299,lost,-71500
103,BIJPUR,SIMA NANDY,Socialist Unity Centre Of India (COMMUNIST),299,lost,-71500
103,BIJPUR,SARAT CHANDRA BISWAS,Bahujan Samaj Party,287,lost,-71512
103,BIJPUR,SUBROTA ROY,Independent,252,lost,-71547
103,BIJPUR,PREM BANSFORE,Independent,174,lost,-71625
103,BIJPUR,TUNTUN YADAV,Independent,117,lost,-71682
103,BIJPUR,NOTA,None of the Above,731,,-71068
104,NAIHATI,SUMITRO CHATTERJEE,Bharatiya Janata Party,77484,won,+ 10430
104,NAIHATI,SANAT DEY,All India Trinamool Congress,67054,lost,-10430
104,NAIHATI,DEBAJYOTI MAJUMDER,Communist Party of India (Marxist-Leninist) (Liberation),7727,lost,-69757
104,NAIHATI,PRADIP KUMAR KUNDU,Indian National Congress,1505,lost,-75979
104,NAIHATI,MAMONI ADHIKARI (BAIDYA),Independent,957,lost,-76527
104,NAIHATI,DEBJIT MUKHERJEE,Bahujan Samaj Party,649,lost,-76835
104,NAIHATI,DINESH KUMAR SHARMA,Independent,451,lost,-77033
104,NAIHATI,MILAN PATRA,Independent,337,lost,-77147
104,NAIHATI,SANJOY ROY,Socialist Unity Centre Of India (COMMUNIST),313,lost,-77171
104,NAIHATI,NOTA,None of the Above,1187,,-76297
105,BHATPARA,PAWAN KUMAR SINGH,Bharatiya Janata Party,61683,won,+ 22807
105,BHATPARA,AMIT GUPTA,All India Trinamool Congress,38876,lost,-22807
105,BHATPARA,ASH NARAYAN SINGH,Communist Party of India (Marxist),2969,lost,-58714
105,BHATPARA,ABDULLAH KHAN SAHEB,Independent,444,lost,-61239
105,BHATPARA,DHARMENDRA SHAW,Indian National Congress,439,lost,-61244
105,BHATPARA,SADANANDA RAJAK,Bahujan Samaj Party,397,lost,-61286
105,BHATPARA,SUJIT BOSE,Socialist Unity Centre Of India (COMMUNIST),246,lost,-61437
105,BHATPARA,PAWAN KUMAR SINGH,Independent,199,lost,-61484
105,BHATPARA,GAURAB PRASAD,Independent,122,lost,-61561
105,BHATPARA,NOTA,None of the Above,939,,-60744
106,JAGATDAL,DR. RAJESH KUMAR,Bharatiya Janata Party,94351,won,+ 20909
106,JAGATDAL,SOMENATH SHYAM ICHINI,All India Trinamool Congress,73442,lost,-20909
106,JAGATDAL,PARVEZ AHMAD KHAN,All India Forward Bloc,9062,lost,-85289
106,JAGATDAL,MANDIRA CHAKRABORTY,Indian National Congress,1240,lost,-93111
106,JAGATDAL,RAJESH THAKUR,Independent,1045,lost,-93306
106,JAGATDAL,SHARMISTHA DAS,Independent,701,lost,-93650
106,JAGATDAL,KANIKA PATRA,Bahujan Samaj Party,546,lost,-93805
106,JAGATDAL,PRANAB CHOWDHURY,Socialist Unity Centre Of India (COMMUNIST),511,lost,-93840
106,JAGATDAL,SUVAMAY PAN,Independent,404,lost,-93947
106,JAGATDAL,SOMENATH MITRA,Independent,311,lost,-94040
106,JAGATDAL,BULA ADHIKARY,Independent,231,lost,-94120
106,JAGATDAL,SHEO PRASAD TIWARI,Bharatiya Rashtriya Forward Bloc,219,lost,-94132
106,JAGATDAL,PRAMOD SINGH,Independent,158,lost,-94193
106,JAGATDAL,NOTA,None of the Above,972,,-93379
107,NOAPARA,ARJUN SINGH,Bharatiya Janata Party,94415,won,+ 17656
107,NOAPARA,TRINANKUR BHATTACHARJEE,All India Trinamool Congress,76759,lost,-17656
107,NOAPARA,GARGI CHATTERJEE,Communist Party of India (Marxist),17696,lost,-76719
107,NOAPARA,ASOKE BHATTACHARYA,Indian National Congress,1922,lost,-92493
107,NOAPARA,MAQSUD HASAN,Independent,875,lost,-93540
107,NOAPARA,MINA MAJUMDAR,Bahujan Samaj Party,580,lost,-93835
107,NOAPARA,SUPRIYO DEY,Independent,358,lost,-94057
107,NOAPARA,BISHAL KUMAR MANDAL,Independent,260,lost,-94155
107,NOAPARA,HRIDAY KANT PATHAK,Independent,221,lost,-94194
107,NOAPARA,BANTI RAJAK,Independent,125,lost,-94290
107,NOAPARA,IZAHARUL HAQUE,Independent,123,lost,-94292
107,NOAPARA,BIPLOB MITRA,Aam Janata Unnayan party,122,lost,-94293
107,NOAPARA,JAYANTA KUMAR BANERJEE,Independent,121,lost,-94294
107,NOAPARA,VIKASH KUMAR RAM,Independent,118,lost,-94297
107,NOAPARA,AMIT KUMAR SHAW,Independent,110,lost,-94305
107,NOAPARA,NOTA,None of the Above,1372,,-93043
108,BARRACKPUR,KAUSTUV BAGCHI,Bharatiya Janata Party,78466,won,+ 15822
108,BARRACKPUR,RAJ CHAKRABORTY (RAJU),All India Trinamool Congress,62644,lost,-15822
108,BARRACKPUR,SUMAN RANJAN BANDYOPADHYAY,Communist Party of India (Marxist),10197,lost,-68269
108,BARRACKPUR,SAMBHU DAS,Indian National Congress,1202,lost,-77264
108,BARRACKPUR,SAROJ SHARMA,Independent,572,lost,-77894
108,BARRACKPUR,SAMIR KUNDU,Independent,224,lost,-78242
108,BARRACKPUR,AMAL KUMAR SEN,Socialist Unity Centre Of India (COMMUNIST),152,lost,-78314
108,BARRACKPUR,RAJDEEP ROY,Independent,139,lost,-78327
108,BARRACKPUR,ZAKIR HUSSAIN,Aam Janata Unnayan party,125,lost,-78341
108,BARRACKPUR,NOTA,None of the Above,1197,,-77269
109,KHARDAHA,KALYAN CHAKRABORTI,Bharatiya Janata Party,97752,won,+ 24486
109,KHARDAHA,DEVADEEP PUROHIT,All India Trinamool Congress,73266,lost,-24486
109,KHARDAHA,DEBAJYOTI DAS (SUBHO),Communist Party of India (Marxist),19818,lost,-77934
109,KHARDAHA,JAYDEB GHOSH,Indian National Congress,1559,lost,-96193
109,KHARDAHA,AMIT DUTTA,Independent,663,lost,-97089
109,KHARDAHA,TAPAS BAR,Bahujan Samaj Party,488,lost,-97264
109,KHARDAHA,DEV KUMAR BISWAS,Hindu Samaj Party,404,lost,-97348
109,KHARDAHA,SANJIB BISWAS,Independent,389,lost,-97363
109,KHARDAHA,PALASH DUTTA,Independent,282,lost,-97470
109,KHARDAHA,KALYANBRATA MAJUMDAR,Independent,225,lost,-97527
109,KHARDAHA,NIRMALYA SING,Bharatiya Nyay-Adhikar Raksha Party,180,lost,-97572
109,KHARDAHA,NASIM KHAN,Aam Janata Unnayan party,163,lost,-97589
109,KHARDAHA,NOTA,None of the Above,1316,,-96436
110,DUM DUM UTTAR,SOURAV SIKDAR,Bharatiya Janata Party,103284,won,+ 26404
110,DUM DUM UTTAR,CHANDRIMA BHATTACHARYA,All India Trinamool Congress,76880,lost,-26404
110,DUM DUM UTTAR,DIPSITA DHAR,Communist Party of India (Marxist),38428,lost,-64856
110,DUM DUM UTTAR,DHANANJAY MAITRA,Indian National Congress,1607,lost,-101677
110,DUM DUM UTTAR,SATYABRATA MAJUMDER,Bahujan Samaj Party,587,lost,-102697
110,DUM DUM UTTAR,PRATAP BAIDYA,Independent,356,lost,-102928
110,DUM DUM UTTAR,RUHUL AMIN SARDAR,Aam Janata Unnayan party,325,lost,-102959
110,DUM DUM UTTAR,HARIPADA BISWAS,Mulnibasi Party of India,242,lost,-103042
110,DUM DUM UTTAR,SANAP MONDAL,Bharatiya Nyay-Adhikar Raksha Party,165,lost,-103119
110,DUM DUM UTTAR,NOTA,None of the Above,1475,,-101809
111,PANIHATI,RATNA DEBNATH,Bharatiya Janata Party,87977,won,+ 28836
111,PANIHATI,TIRTHANKAR GHOSH,All India Trinamool Congress,59141,lost,-28836
111,PANIHATI,KALATAN DASGUPTA,Communist Party of India (Marxist),24032,lost,-63945
111,PANIHATI,SUBHASHISH BHATTACHARYA (TATA),Indian National Congress,1175,lost,-86802
111,PANIHATI,SADHANA CHAKRABORTY,Independent,563,lost,-87414
111,PANIHATI,SANJIB KUMAR GHOSH,Independent,371,lost,-87606
111,PANIHATI,SWAMINATH KORI,Bahujan Samaj Party,198,lost,-87779
111,PANIHATI,SHEKH IMANUR RAHMAN,Independent,176,lost,-87801
111,PANIHATI,CHANDRA SHEKHAR CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),151,lost,-87826
111,PANIHATI,AFSANA KHATOON,Aam Janata Unnayan party,83,lost,-87894
111,PANIHATI,BISWANATH DEY,Independent,72,lost,-87905
111,PANIHATI,NOTA,None of the Above,1045,,-86932
112,KAMARHATI,MADAN MITRA,All India Trinamool Congress,64817,won,+ 5646
112,KAMARHATI,ARUP CHOUDHURY (PULAK),Bharatiya Janata Party,59171,lost,-5646
112,KAMARHATI,MANASH MUKHERJEE,Communist Party of India (Marxist),20203,lost,-44614
112,KAMARHATI,KALLOL MUKHERJEE,Indian National Congress,1345,lost,-63472
112,KAMARHATI,SANDIP DUTTA BHOWMICK,Independent,653,lost,-64164
112,KAMARHATI,SATYABRATA BANDYOPADHYAY,Independent,276,lost,-64541
112,KAMARHATI,HIRAK SINHA,Independent,202,lost,-64615
112,KAMARHATI,SAIFUDDIN MONDAL,Aam Janata Unnayan party,140,lost,-64677
112,KAMARHATI,SHEKH IMANUR RAHMAN,Independent,135,lost,-64682
112,KAMARHATI,PINTU KARAR,Independent,114,lost,-64703
112,KAMARHATI,BIRJU SHAW,Independent,71,lost,-64746
112,KAMARHATI,NOTA,None of the Above,1145,,-63672
113,BARANAGAR,SAJAL GHOSH,Bharatiya Janata Party,81730,won,+ 16956
113,BARANAGAR,SAYANTIKA BANERJEE,All India Trinamool Congress,64774,lost,-16956
113,BARANAGAR,SAYANDEEP MITRA,Communist Party of India (Marxist),18689,lost,-63041
113,BARANAGAR,KALYANI CHAKRABORTY,Indian National Congress,1191,lost,-80539
113,BARANAGAR,SUPRIYA BHATTACHARYA,Socialist Unity Centre Of India (COMMUNIST),482,lost,-81248
113,BARANAGAR,SHUBHRANGSHU BHAKTA,Independent,448,lost,-81282
113,BARANAGAR,SAJAL GHOSH,Independent,379,lost,-81351
113,BARANAGAR,SAJAL KUMAR GHOSH,Independent,234,lost,-81496
113,BARANAGAR,PRASENJIT DEY,Independent,145,lost,-81585
113,BARANAGAR,DULAL KANTI BHATTACHARYA,Independent,78,lost,-81652
113,BARANAGAR,NOTA,None of the Above,1197,,-80533
114,DUM DUM,ARIJIT BAKSHI,Bharatiya Janata Party,99181,won,+ 25273
114,DUM DUM,BRATYABRATA BASU,All India Trinamool Congress,73908,lost,-25273
114,DUM DUM,MAYUKH BISWAS,Communist Party of India (Marxist),20576,lost,-78605
114,DUM DUM,SUSMITA BISWAS,Indian National Congress,1476,lost,-97705
114,DUM DUM,PALASH SAMANTA,Independent,518,lost,-98663
114,DUM DUM,SUBRATA KUMAR MAJUMDER,Bahujan Samaj Party,381,lost,-98800
114,DUM DUM,NIRENDRANATH KARMAKAR,Socialist Unity Centre Of India (COMMUNIST),249,lost,-98932
114,DUM DUM,DULU DEY,Independent,227,lost,-98954
114,DUM DUM,SABIR RAJA ANSARI,Aam Janata Unnayan party,123,lost,-99058
114,DUM DUM,NOTA,None of the Above,1459,,-97722
115,RAJARHAT NEW TOWN,PIYUSH KANODIA,Bharatiya Janata Party,106564,won,+ 316
115,RAJARHAT NEW TOWN,TAPASH CHATTERJEE,All India Trinamool Congress,106248,lost,-316
115,RAJARHAT NEW TOWN,SAPTARSHI DEB,Communist Party of India (Marxist),32246,lost,-74318
115,RAJARHAT NEW TOWN,SK NIZAMUDDIN,Indian National Congress,1885,lost,-104679
115,RAJARHAT NEW TOWN,NARAYAN  MANDAL,Independent,1227,lost,-105337
115,RAJARHAT NEW TOWN,SUJAN SARDAR,Independent,768,lost,-105796
115,RAJARHAT NEW TOWN,ASHUTOSH PAUL,National Republic Party Of India,484,lost,-106080
115,RAJARHAT NEW TOWN,ASHIT DHALI,Independent,313,lost,-106251
115,RAJARHAT NEW TOWN,RAJIB SARKAR,Independent,313,lost,-106251
115,RAJARHAT NEW TOWN,ABHIMANYU SHANDILYA,Independent,220,lost,-106344
115,RAJARHAT NEW TOWN,FIRDAUS ALI MOLLA,Aam Janata Unnayan party,210,lost,-106354
115,RAJARHAT NEW TOWN,SUNIL NASKAR,Socialist Unity Centre Of India (COMMUNIST),178,lost,-106386
115,RAJARHAT NEW TOWN,SHUBHANKAR MONDAL,Samata Party,112,lost,-106452
115,RAJARHAT NEW TOWN,NOTA,None of the Above,1792,,-104772
116,BIDHANNAGAR,SHARADWAT MUKHERJEE,Bharatiya Janata Party,97979,won,+ 37330
116,BIDHANNAGAR,SUJIT BOSE,All India Trinamool Congress,60649,lost,-37330
116,BIDHANNAGAR,SOUMYAJIT RAHA,Communist Party of India (Marxist),13956,lost,-84023
116,BIDHANNAGAR,RANAJIT MUKHERJEE,Indian National Congress,1498,lost,-96481
116,BIDHANNAGAR,SUJIT BOSE,Independent,750,lost,-97229
116,BIDHANNAGAR,UMA PANDA,Socialist Unity Centre Of India (COMMUNIST),495,lost,-97484
116,BIDHANNAGAR,SWETAKETU NANDY,Independent,236,lost,-97743
116,BIDHANNAGAR,SUJIT PAL,Independent,213,lost,-97766
116,BIDHANNAGAR,SHAMPA MUKHERJEE,Independent,200,lost,-97779
116,BIDHANNAGAR,SARAT MUKHERJEE,Independent,126,lost,-97853
116,BIDHANNAGAR,NOTA,None of the Above,1382,,-96597
117,RAJARHAT  GOPALPUR,TARUNJYOTI TEWARI,Bharatiya Janata Party,101277,won,+ 27757
117,RAJARHAT  GOPALPUR,ADITI MUNSHI,All India Trinamool Congress,73520,lost,-27757
117,RAJARHAT  GOPALPUR,SUBHAJIT DASGUPTA,Communist Party of India (Marxist),16476,lost,-84801
117,RAJARHAT  GOPALPUR,PARTHA BHAUMIK,Indian National Congress,1653,lost,-99624
117,RAJARHAT  GOPALPUR,SWAPAN HALDAR,Independent,271,lost,-101006
117,RAJARHAT  GOPALPUR,SUBIR CHAUDHURY,Socialist Unity Centre Of India (COMMUNIST),241,lost,-101036
117,RAJARHAT  GOPALPUR,TARUN KUMAR TIWARI,Independent,179,lost,-101098
117,RAJARHAT  GOPALPUR,LALU NEYE,Independent,130,lost,-101147
117,RAJARHAT  GOPALPUR,MONIKA MANNA,Bharatiya Nyay-Adhikar Raksha Party,126,lost,-101151
117,RAJARHAT  GOPALPUR,AVIJIT PODDER,National Republic Party Of India,117,lost,-101160
117,RAJARHAT  GOPALPUR,ARINDAM GHOSH,Independent,93,lost,-101184
117,RAJARHAT  GOPALPUR,ACHINTYA GHOSH,Independent,79,lost,-101198
117,RAJARHAT  GOPALPUR,NOTA,None of the Above,1568,,-99709
118,MADHYAMGRAM,RATHIN GHOSH,All India Trinamool Congress,95995,won,+ 2399
118,MADHYAMGRAM,ANINDYA BANERJEE,Bharatiya Janata Party,93596,lost,-2399
118,MADHYAMGRAM,PRIYANKA BARMAN,All India Secular Front,35501,lost,-60494
118,MADHYAMGRAM,NITAI CHANDRA PAL,All India Forward Bloc,2209,lost,-93786
118,MADHYAMGRAM,ANANTA RAY,Indian National Congress,1587,lost,-94408
118,MADHYAMGRAM,NITYANANDA GHOSH,Socialist Unity Centre Of India (COMMUNIST),703,lost,-95292
118,MADHYAMGRAM,MONOJ KUMAR ROY,Bahujan Samaj Party,625,lost,-95370
118,MADHYAMGRAM,RAJDWIP GHOSH,Independent,452,lost,-95543
118,MADHYAMGRAM,SANAT KARMAKAR,Bharatiya Nyay-Adhikar Raksha Party,423,lost,-95572
118,MADHYAMGRAM,ANINDA BANERJEE,Independent,351,lost,-95644
118,MADHYAMGRAM,NOTA,None of the Above,1474,,-94521
119,BARASAT,SANKAR CHATTERJEE,Bharatiya Janata Party,122171,won,+ 34558
119,BARASAT,SABYASACHI DUTTA,All India Trinamool Congress,87613,lost,-34558
119,BARASAT,HEMANTA DAS,All India Forward Bloc,18700,lost,-103471
119,BARASAT,TARAK MUKHERJEE,Indian National Congress,2252,lost,-119919
119,BARASAT,PRADIP GAYEN,Bahujan Samaj Party,901,lost,-121270
119,BARASAT,MD. JAHANGIR ALI,Independent,876,lost,-121295
119,BARASAT,SHANKAR CHATTERJEE,Independent,679,lost,-121492
119,BARASAT,OMAR FARUQUE,All India Majlis-E-Ittehadul Muslimeen,613,lost,-121558
119,BARASAT,AVIK BASU THAKUR,Independent,358,lost,-121813
